Year,Home_goals,Away_goals,Home Team,Away Team,Home Team ISO,Away Team ISO,GDP Home,GDP Away
1986,0,1,scotland,denmark,SCT,DNK,,
1986,1,1,uruguay,germany fr,URY,DEU,5880112788.0,
1986,1,1,italy,argentina,ITA,ARG,640000000000.0,
1986,1,1,france,soviet union,FRA,SUN,771000000000.0,
1986,1,1,korea republic,bulgaria,KOR,BGR,117000000000.0,
1986,2,0,hungary,canada,HUN,CAN,,377000000000.0
1986,1,0,brazil,algeria,BRA,DZA,,63692238160.0
1986,0,0,england,morocco,ENG,MAR,,19462175322.0
1986,1,2,northern ireland,spain,NIL,ESP,,251000000000.0
1986,1,1,mexico,paraguay,MEX,PRY,135000000000.0,
1986,1,0,poland,portugal,POL,PRT,,38745901354.0
1986,1,2,iraq,belgium,IRQ,BEL,,120000000000.0
1986,6,1,denmark,uruguay,DNK,URY,,5880112788.0
1986,2,1,germany fr,scotland,DEU,SCT,,
1986,0,3,hungary,france,HUN,FRA,,771000000000.0
1986,2,0,soviet union,canada,SUN,CAN,,377000000000.0
1986,2,3,korea republic,italy,KOR,ITA,117000000000.0,640000000000.0
1986,2,0,argentina,bulgaria,ARG,BGR,,
1986,2,2,paraguay,belgium,PRY,BEL,,120000000000.0
1986,0,1,iraq,mexico,IRQ,MEX,,135000000000.0
1986,1,3,portugal,morocco,PRT,MAR,38745901354.0,19462175322.0
1986,3,0,england,poland,ENG,POL,,
1986,0,3,northern ireland,brazil,NIL,BRA,,
1986,0,3,algeria,spain,DZA,ESP,63692238160.0,251000000000.0
1986,0,0,scotland,uruguay,SCT,URY,,5880112788.0
1986,2,0,denmark,germany fr,DNK,DEU,,
1986,3,4,soviet union,belgium,SUN,BEL,,120000000000.0
1986,2,0,mexico,bulgaria,MEX,BGR,135000000000.0,
1986,1,0,argentina,uruguay,ARG,URY,,5880112788.0
1986,4,0,brazil,poland,BRA,POL,,
1986,0,2,italy,france,ITA,FRA,640000000000.0,771000000000.0
1986,0,1,morocco,germany fr,MAR,DEU,19462175322.0,
1986,3,0,england,paraguay,ENG,PRY,,
1986,1,5,denmark,spain,DNK,ESP,,251000000000.0
1986,1,1,brazil,france,BRA,FRA,,771000000000.0
1986,0,0,germany fr,mexico,DEU,MEX,,135000000000.0
1986,1,1,spain,belgium,ESP,BEL,251000000000.0,120000000000.0
1986,2,1,argentina,england,ARG,ENG,,
1986,0,2,france,germany fr,FRA,DEU,771000000000.0,
1986,2,0,argentina,belgium,ARG,BEL,,120000000000.0
1986,4,2,france,belgium,FRA,BEL,771000000000.0,120000000000.0
1986,3,2,argentina,germany fr,ARG,DEU,,
1990,0,1,argentina,cameroon,ARG,CMR,,12314482085.0
1990,0,2,soviet union,romania,SUN,ROU,,
1990,0,2,"rn"">united arab emirates",colombia,ARE,COL,,47844090710.0
1990,1,0,italy,austria,ITA,AUT,1180000000000.0,166000000000.0
1990,1,5,usa,czechoslovakia,USA,CZE,5960000000000.0,
1990,2,1,brazil,sweden,BRA,SWE,,262000000000.0
1990,4,1,germany fr,yugoslavia,DEU,YUG,,
1990,1,0,costa rica,scotland,CRI,SCT,5711687787.0,
1990,1,1,england,"rn"">republic of ireland",ENG,IRL,,49305632408.0
1990,2,0,belgium,korea republic,BEL,KOR,205000000000.0,283000000000.0
1990,1,1,netherlands,egypt,NLD,EGY,318000000000.0,
1990,0,0,uruguay,spain,URY,ESP,9298839655.0,537000000000.0
1990,2,0,argentina,soviet union,ARG,SUN,,
1990,2,1,cameroon,romania,CMR,ROU,12314482085.0,
1990,1,0,yugoslavia,colombia,YUG,COL,,47844090710.0
1990,1,0,italy,usa,ITA,USA,1180000000000.0,5960000000000.0
1990,0,1,austria,czechoslovakia,AUT,CZE,166000000000.0,
1990,5,1,germany fr,"rn"">united arab emirates",DEU,ARE,,
1990,1,0,brazil,costa rica,BRA,CRI,,5711687787.0
1990,1,2,sweden,scotland,SWE,SCT,262000000000.0,
1990,0,0,england,netherlands,ENG,NLD,,318000000000.0
1990,0,0,"rn"">republic of ireland",egypt,IRL,EGY,49305632408.0,
1990,1,3,korea republic,spain,KOR,ESP,283000000000.0,537000000000.0
1990,3,1,belgium,uruguay,BEL,URY,205000000000.0,9298839655.0
1990,1,1,argentina,romania,ARG,ROU,,
1990,0,4,cameroon,soviet union,CMR,SUN,12314482085.0,
1990,1,1,germany fr,colombia,DEU,COL,,47844090710.0
1990,4,1,yugoslavia,"rn"">united arab emirates",YUG,ARE,,
1990,2,0,italy,czechoslovakia,ITA,CZE,1180000000000.0,
1990,2,1,austria,usa,AUT,USA,166000000000.0,5960000000000.0
1990,1,0,brazil,scotland,BRA,SCT,,
1990,1,2,sweden,costa rica,SWE,CRI,262000000000.0,5711687787.0
1990,0,1,korea republic,uruguay,KOR,URY,283000000000.0,9298839655.0
1990,1,2,belgium,spain,BEL,ESP,205000000000.0,537000000000.0
1990,1,1,"rn"">republic of ireland",netherlands,IRL,NLD,49305632408.0,318000000000.0
1990,1,0,england,egypt,ENG,EGY,,
1990,2,1,cameroon,colombia,CMR,COL,12314482085.0,47844090710.0
1990,4,1,czechoslovakia,costa rica,CZE,CRI,,5711687787.0
1990,0,1,brazil,argentina,BRA,ARG,,
1990,2,1,germany fr,netherlands,DEU,NLD,,318000000000.0
1990,0,0,"rn"">republic of ireland",romania,IRL,ROU,49305632408.0,
1990,2,0,italy,uruguay,ITA,URY,1180000000000.0,9298839655.0
1990,1,2,spain,yugoslavia,ESP,YUG,537000000000.0,
1990,1,0,england,belgium,ENG,BEL,,205000000000.0
1990,0,0,yugoslavia,argentina,YUG,ARG,,
1990,1,0,italy,"rn"">republic of ireland",ITA,IRL,1180000000000.0,49305632408.0
1990,1,0,germany fr,czechoslovakia,DEU,CZE,,
1990,3,2,england,cameroon,ENG,CMR,,12314482085.0
1990,1,1,italy,argentina,ITA,ARG,1180000000000.0,
1990,1,1,germany fr,england,DEU,ENG,,
1990,2,1,italy,england,ITA,ENG,1180000000000.0,
1990,1,0,germany fr,argentina,DEU,ARG,,
1994,2,2,spain,korea republic,ESP,KOR,531000000000.0,464000000000.0
1994,1,0,germany,bolivia,DEU,BOL,,5981244887.0
1994,1,1,usa,switzerland,USA,CHE,7290000000000.0,
1994,0,1,italy,"rn"">republic of ireland",ITA,IRL,1100000000000.0,57097656066.0
1994,1,3,colombia,romania,COL,ROU,81703500846.0,
1994,1,0,belgium,morocco,BEL,MAR,245000000000.0,35604137423.0
